,Departamento,Capital,Barrio,long,lat
343,VALLE,CALI (CT),LA LUISA E19,-76.5574968,3.3813269
344,VALLE,CALI (CT),IGNACIO RENGIFO E4,-76.51251804041061,3.4715012
346,VALLE,CALI (CT),EL REMANSO E21,-76.46681278271788,3.41843415
347,VALLE,CALI (CT),SAN JUDAS TADEO II E10,-76.52315210699946,3.4137788999999996
349,VALLE,CALI (CT),CEMENTERIO CARABINEROS E20,-76.56688892711267,3.41566325
354,VALLE,CALI (CT),SANTA BARBARA E19,-76.54726008423681,3.4422232000000004
357,VALLE,CALI (CT),FENALCO KENNEDY E12,-76.49938199323529,3.4379695000000003
360,VALLE,CALI (CT),CANDELARIA,-76.63249,3.3679358999999995
365,VALLE,CALI (CT),JOSE MARIA CORDOBA E11,-76.51049126149323,3.4221776
367,VALLE,CALI (CT),PATIO BONITO E1,-76.5871203,3.462682
368,VALLE,CALI (CT),LA ALBORADA E16,-76.5213252215942,3.39993575
374,VALLE,CALI (CT),BELLO HORIZONTE E12,-76.50362904266606,3.4329444
376,VALLE,CALI (CT),FRANCISCO ELADIO RAMIREZ E18,-76.54870609936974,3.3882597000000003
377,VALLE,CALI (CT),PLANTA DE TRATAMIENTO E21,-76.48006745929098,3.4438101000000003
379,VALLE,CALI (CT),CIUDAD CAMPESTRE E22,-76.53925783469293,3.3706385
381,VALLE,CALI (CT),EL DORADO E24,-76.52901494483268,3.42070205
384,VALLE,CALI (CT),POPULAR E24,-76.51193039983295,3.46969115
385,VALLE,CALI (CT),BELALCAZAR E24,-76.52179990804318,3.44174485
386,VALLE,CALI (CT),LAS AMERICAS E25,-76.50635422144741,3.44801315
387,VALLE,CALI (CT),PANAMERICANO E24,-76.53421068545492,3.41308325
390,VALLE,CALI (CT),PRIMERO DE MAYO E24,-76.53321958127349,3.40546745
395,VALLE,CALI (CT),CIUDAD DEL CAMPO,-76.4676228,3.4569152
397,VALLE,CALI (CT),ASPROSOCIAL - DIAMANTE E13,-76.500147,3.4237637999999997
406,VALLE,CALI (CT),SECTOR MELENDEZ E18,-76.54705315181236,3.3734045
410,VALLE,CALI (CT),VERSALLES,-76.52815114341881,3.46083535
415,VALLE,CALI (CT),MENGA E25,-76.52587878989803,3.49302735
416,VALLE,CALI (CT),JORGE ELIECER GAITAN E25,-76.48075153870008,3.4717114
417,VALLE,CALI (CT),CENTENARIO E24,-76.53647620567902,3.45322895
422,VALLE,CALI (CT),EL PORVENIR E24,-76.51363349925167,3.4589051
